,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
57,V8fvWZPIIo0,"""Батут работает"": Илон Маск вспомнил шутку Рогозина шестилетней давности // Здесь и сейчас",2020-05-31T15:00:11Z,Телеканал Дождь,1160950,31285,1268,5691
58,rroUrlGfY40,Минкультуры разрешило коммерческую застройку на 300 гектарах музея-усадьбы «Архангельское»,2020-05-31T10:12:32Z,Телеканал Дождь,29381,1070,25,222
59,-eTbGW3LsH0,Исторический старт NASA. Чем Дмитрий Рогозин ответит Илону Маску?,2020-05-30T12:27:35Z,Телеканал Дождь,701782,22490,1509,5396
60,3vICIYtwngw,Как медики стали инструментом Кремля в борьбе за поправки в Конституцию // Колонка Юлии Таратуты,2020-05-29T06:00:00Z,Телеканал Дождь,169446,6941,209,1028
61,qbfZE4p_7Hk,"Собянин: ""Самоизоляция продлится до изобретения вакцины"" // Здесь и сейчас",2020-05-28T18:48:58Z,Телеканал Дождь,190957,4288,760,2139
62,wfCdyiNyyu0,Экс-глава Чувашии подал иск к Путину о восстановлении в должности // Здесь и сейчас,2020-05-27T19:03:34Z,Телеканал Дождь,100364,2514,140,502
63,rvHVTADtcP4,"Дмитрий Гордон об интервью Стрелкова и Поклонской, флешках, Гааге, Кашпировском и Соловьеве",2020-05-25T15:59:26Z,Телеканал Дождь,265742,6090,1231,2237
64,jtPCie9NdMU,"Вера Полозкова — о борьбе с травлей, воспитании детей одной и поиске позитива // Синдеева",2020-05-25T08:00:17Z,Телеканал Дождь,94126,3266,163,509
65,-_l6rqH4dXA,"Музыканты из соцсетей. Как песни про быт, комплексы и реальную «жизу» понравились миллионам",2020-05-24T14:26:12Z,Телеканал Дождь,12194,408,94,87
66,yGfyM8AvrP8,Путин между эпидемией и поправками. Как власть готовится к голосованию в масках // Колонка Фишмана,2020-05-24T09:00:34Z,Телеканал Дождь,235532,10224,305,1455
67,wJ_gaI2ovII,«Все старики в селе умерли». Почему Дагестан был не готов к эпидемии. Репортаж Василия Полонского,2020-05-23T13:25:11Z,Телеканал Дождь,835741,12330,1142,4868
68,iaqm8_Q7tn4,«Кадыров ввел жесткий карантин и сам его нарушал». У главы Чечни заподозрили коронавирус,2020-05-22T16:30:33Z,Телеканал Дождь,244812,2894,236,1003
69,UgijR6g3H8M,"Как Мария Захарова ""слилась"" с дебатов с Навальным",2020-05-19T11:15:54Z,Телеканал Дождь,168656,6253,157,638
70,x8xisJY4KrE,"Алексей Пивоваров о «сливе» Захаровой дебатов с Навальным, проекте «Редакция» и YouTube-журналистике",2020-05-18T15:58:28Z,Телеканал Дождь,553815,17817,599,1054
71,wp8YNTsJXUI,Путин снова в строю. Как страну выводят из карантина и готовят к голосованию,2020-05-17T11:00:20Z,Телеканал Дождь,549541,13192,581,1687
72,rhVBhgXfeFo,"Ирина Хакамада: «Наш народ, с одной стороны, вроде свободный, а с другой — абсолютный раб»",2020-05-17T08:00:30Z,Телеканал Дождь,156927,3949,417,586
73,FKyH0nNhC6g,Почему Путин спешит с отменой карантина в разгар эпидемии. Колонка Юлии Таратуты,2020-05-15T16:22:51Z,Телеканал Дождь,582497,10277,850,1415
74,fuTxlutkovI,"Сергей Гуриев — о том, почему власти экономят деньги и как это повлияет на будущее экономики России",2020-05-14T14:00:45Z,Телеканал Дождь,662668,18872,570,1912
75,Rz07X7R-07M,"Максим Шевченко — о сокрытии статистики, панике чиновников и эпидемии неравенства",2020-05-13T15:58:53Z,Телеканал Дождь,135710,4957,308,597
76,_MugGNG6Qkw,"Юлия Пересильд об уроках изоляции, съемках «Зулейхи» и о том, как рассказать детям о войне",2020-05-11T17:00:23Z,Телеканал Дождь,26611,391,93,65
77,e7Ikv_U0Ft0,Выступление Владимира Путина. Смотрим и обсуждаем с экспертами,2020-05-11T14:32:40Z,Телеканал Дождь,163874,1595,6133,1235
78,7iBGFEZvyI8,Новый проект Басты — Gorilla Zippo. Зачем ему еще одно название и как снимался дебютный клип,2020-05-08T15:44:37Z,Телеканал Дождь,17614,224,332,123
79,y4swtqTAjg8,"Любовь Соболь о дебатах с Собчак, независимости от Навального и главных планах в качестве депутата",2020-05-06T17:15:36Z,Телеканал Дождь,343403,13432,622,2393
80,JhRyBwSvq-o,Обращение Владимира Путина по ситуации с коронавирусом,2020-05-06T14:11:51Z,Телеканал Дождь,148381,685,6295,1017
81,OA5yxXfUIkU,"Вакцина Гейтса. Откуда взялась теория заговора, за выпуск о которой программу Михалкова сняли с эфир",2020-05-04T09:16:10Z,Телеканал Дождь,385345,7705,5469,4227
82,u7rbyvhNbdQ,Как из-за прихоти Путина Россия осталась без дееспособного правительства,2020-05-03T09:00:35Z,Телеканал Дождь,839421,18059,1295,2357
83,zSVty5YUm3k,Медиков во Владимирской области заставили руками стирать одноразовые защитные костюмы. Репортаж Васи,2020-05-02T08:53:04Z,Телеканал Дождь,28099,1669,82,213
84,FUrIv0WYRQY,"Илья Варламов об ошибках власти, разногласиях с Навальным и урбан-варварстве",2020-04-29T15:59:31Z,Телеканал Дождь,158241,4699,721,617
85,SleYozpcAQU,"Владимир Познер: «Сейчас не время хаять власть»,  о кризисе, «Большом брате» и действиях властей",2020-04-26T12:00:13Z,Телеканал Дождь,70127,1833,2358,961
86,2OM_tbj4BUg,Что осталось от больших планов Путина на будущее,2020-04-26T09:00:02Z,Телеканал Дождь,856162,29828,1428,3833
87,J96QNlHPCPE,Десять лет с Дождем. Свобода вопреки,2020-04-25T16:38:19Z,Телеканал Дождь,29407,757,68,84
88,Y0JXs1Oqd-c,Договоренность или домашний арест: как эпидемия заставляет власть менять интонацию // Юлия Таратута,2020-04-24T12:57:35Z,Телеканал Дождь,87923,3460,119,363
89,S0OIwEExkOE,Чулпан Хаматова о «проклятиях» из-за сериала «Зулейха открывает глаза»,2020-04-23T16:04:22Z,Телеканал Дождь,460950,8262,3245,7723
90,Wt1AS7U1aZ4,"Навальный об ультиматуме Путину, карантине без ЧС, митингах, Кавказе и главных ошибках",2020-04-22T16:03:43Z,Телеканал Дождь,1318891,48947,1949,5695
91,yjwIXugasnk,"Как провериться на Covid-19, не выходя из машины",2020-04-21T08:53:22Z,Телеканал Дождь,11557,294,236,109
92,9_HH9yfIi5s,"Евгений Чичваркин о нынешней антиутопии, «обещалках» Путина и перезагрузке России",2020-04-20T15:55:11Z,Телеканал Дождь,1184895,37131,2316,4393
93,iHN9zvYKgAo,Что означает перенос парада Победы для Путина и отменят ли выборы губернаторов,2020-04-19T09:00:32Z,Телеканал Дождь,736006,12866,1142,2200
94,oGw2-cO8xgQ,Вирус-убийца и этнические бомбы. Антизападные выдумки ученых-друзей Путина,2020-04-18T09:57:10Z,Телеканал Дождь,37740,1458,152,208
95,luwu6ygI5YI,"Леонид Парфенов про Россию после карантина, обнуление Путина и создание «Намедни» на удаленке",2020-04-17T14:02:31Z,Телеканал Дождь,1039162,22480,2355,2593
96,Gcdvxk4rU7k,"Похороны в эпоху коронавируса: массовые захоронения, цинковые гробы и тела в пластиковых пакетах",2020-04-17T09:35:07Z,Телеканал Дождь,89032,1190,736,444
97,NdvT8-C5p6Y,Смотрим и обсуждаем с экспертами новое выступление Путина,2020-04-15T13:53:27Z,Телеканал Дождь,64671,1223,2019,445
98,yy5jIw6ntrY,"Что происходит в больнице Уфы, которую закрыли на карантин",2020-04-14T09:11:52Z,Телеканал Дождь,394302,6024,251,1229
99,2EVkDcCIdys,"Михаил Ходорковский о кризисе Путина, планах оппозиции, и какая власть нужна России",2020-04-13T19:06:49Z,Телеканал Дождь,1186204,33068,2066,4155
100,nZ8Kzh1p72o,"«Реаниматолог за все это должен тысяч 500 получать». Врачи рассказали, как работают в эпидемию",2020-04-13T12:35:44Z,Телеканал Дождь,134272,3423,93,689
101,Td36a_o9sP0,"Как Собянин ужесточает карантин в Москве, и зачем вводят пропуска",2020-04-12T12:20:38Z,Телеканал Дождь,94330,2012,347,674
102,VJZIk0GMEDw,Си(н)ди дома с Катериной Гордеевой и Дмитрием Казниным. Рак в эпоху пандемии,2020-04-10T18:34:38Z,Телеканал Дождь,11651,242,24,31
103,MBDUpcmJg20,Вредоносное поветрие. Юлия Таратута о политической акции патриарха во «спасение» от заразы,2020-04-10T16:04:47Z,Телеканал Дождь,24133,1084,58,240
104,JPR8JuCYhhI,"Каким будет мир после пандемии? Обсуждают Синдеева, Кричевская, Сапрыкин и Казнин",2020-04-10T10:15:42Z,Телеканал Дождь,34584,762,155,191
105,27oklFxhEZQ,Выступление Путина. Смотрим и обсуждаем с экспертами,2020-04-08T13:22:18Z,Телеканал Дождь,106145,1211,3970,1094
106,A-k7UDTWqkQ,Теракт в Петербурге. Найдены ли настоящие организаторы? Все нестыковки следствия и суда,2020-04-08T09:26:07Z,Телеканал Дождь,89001,4495,260,657
107,3GP7O-fM0X4,"Адский фильм для карантина: что будет, если еда закончится? Разбираем фильм «Платформа»",2020-04-07T18:10:11Z,Телеканал Дождь,13620,503,51,97
108,LwfLc7qICqM,"Людмила Улицкая: «Какой бы ни была мучительной ситуация, самый интересный вопрос — что будет потом»",2020-04-05T13:01:28Z,Телеканал Дождь,91865,2820,167,345
109,l-yrKdSDANs,"Выходные вместо режима ЧП. Почему Путин избегает помощи бизнесу, и что будет с безработицей",2020-04-05T09:39:42Z,Телеканал Дождь,612619,20495,1587,2507
110,JF48vF9VpTM,Самоизоляция от России. Почему Путин устранился от эпидемии,2020-04-03T16:43:21Z,Телеканал Дождь,132818,4335,155,434
111,9LEB1JtOcSQ,«Ситуация отчаянная». Сергей Гуриев о необходимости всероссийского карантина и падении цен на нефть,2020-04-03T12:55:17Z,Телеканал Дождь,858040,21012,1640,4040
112,f54dNqtBnHk,В Москве ловят нарушителей карантина с помощью видеонаблюдения. Можно ли обмануть Большого брата?,2020-04-03T08:04:03Z,Телеканал Дождь,329386,8458,311,1208
113,Q46P3kEQ634,Нерабочие дни продлили до конца апреля. Обсуждаем обращение Путина,2020-04-02T15:12:46Z,Телеканал Дождь,110995,2615,2255,798
114,EkYNyxmFpFQ,Синдеева.LIVE,2020-03-31T16:43:14Z,Телеканал Дождь,26458,929,58,66
115,TpGqtcYw1Wo,Россия на карантине. Спецэфир Дождя,2020-03-30T20:07:49Z,Телеканал Дождь,70447,1595,89,35
116,7QNQ7Lbguro,"Спорим про карантин, ответственность и неделю выходных — а дальше чё?",2020-03-30T19:18:50Z,Телеканал Дождь,29423,989,209,306
117,hHbd6NF9XaM,В Москве и Подмосковье вводят режим всеобщей самоизоляции. Что это значит,2020-03-29T18:23:48Z,Телеканал Дождь,79709,1761,100,497
118,Bs4cvneDC2E,"Что ждёт Москву — рассказывают жители городов, где уже тысячи заболевших коронавирусом",2020-03-29T09:50:57Z,Телеканал Дождь,363047,6259,740,1747
119,byeTQPVxSPM,5000 дополнительных коек и «пропуска на передвижение». Как Москва готовится к карантину,2020-03-28T16:09:07Z,Телеканал Дождь,101904,1715,113,276
120,t391PtADiLw,Коронавирус в России. Справятся ли власти с эпидемией?,2020-03-28T12:40:13Z,Телеканал Дождь,123857,3317,212,622
121,JJbsl7AszCA,"17 мгновений Путина. Что хочет сказать президент, примеряя новые образы и амплуа",2020-03-27T18:27:54Z,Телеканал Дождь,56167,2406,127,375
122,wVtqwOTb6dA,"«Плевать, если я заболею». Что пели в Куршевеле перед тем, как привезти коронавирус в Москву",2020-03-27T17:35:26Z,Телеканал Дождь,226645,4969,435,1255
123,rems1YHSpOI,Марафон #Домапоговорим продолжается!,2020-03-26T12:43:20Z,Телеканал Дождь,33730,284,71,26
124,eo_SLGjl30M,Обращение Путина в связи с коронавирусом: смотрим и обсуждаем с экспертами,2020-03-25T14:01:17Z,Телеканал Дождь,49644,958,2300,358
125,_AT2ZwT5_uA,"Доктор Евгений Комаровский о коронавирусе: как не заболеть, нужен ли карантин и носить ли маски",2020-03-24T18:58:54Z,Телеканал Дождь,630729,9361,551,981
126,yYWDojfdb9g,"Наше дело. Кто виноват в том, что случилось в семье Хачатурян",2020-03-24T13:14:47Z,Телеканал Дождь,1734031,20449,2060,12890
127,hJ2S3myU9qQ,"«Она молодец, но я ей не верю». Михаил Козырев — о последнем концерте Мадонны перед закрытием Парижа",2020-03-23T20:16:37Z,Телеканал Дождь,20370,724,92,205
128,kZDgrtt0hVk,Орден друзей президента. Кого и за что награждает Путин,2020-03-20T15:12:08Z,Телеканал Дождь,89072,4204,79,382
129,iVrzc6HMBGc,"Леонид Невзлин о последней капле перед отъездом из России, деле ЮКОСа, страхах и обнулении",2020-03-20T07:57:46Z,Телеканал Дождь,401043,8519,759,1284
130,CAX8vSVuYRc,Марафон Дождя «Дома Поговорим». День 2,2020-03-19T18:45:52Z,Телеканал Дождь,27926,984,51,28
131,o7WQ-BmO2y4,Марафон Дождя «Дома Поговорим»,2020-03-18T16:10:42Z,Телеканал Дождь,31430,904,58,15
132,DYmafJIcL7w,"Бить, любить, служить. Почему полицейские безнаказанно убивают своих жен",2020-03-17T13:25:07Z,Телеканал Дождь,453084,11250,442,3525
133,qYli9i0LAWo,"«А дальше чё?» — самый острый вопрос не только для тех, кому всего 20",2020-03-16T16:07:02Z,Телеканал Дождь,20562,1027,95,212
134,wfDqBs50tjo,Обнуление 20 лет спустя — Путин выбрал «белорусский сценарий» и остается навсегда / Михаил Фишман,2020-03-16T11:20:07Z,Телеканал Дождь,584088,17913,522,2146
135,73SoThMDfhk,Не Россией «Единой». Зачем власть мобилизует звезд перед думскими выборами,2020-03-14T09:30:01Z,Телеканал Дождь,69190,2756,73,240
136,7Vyit1-xCiA,"Айдан Салахова, прилетевшая из Италии, — об изоляции в реабилитационном центре в Царицыно",2020-03-13T16:39:22Z,Телеканал Дождь,47674,1000,66,125
137,y7zw7dnFMfg,Терешкова и другие ткачихи Кремля: почему именно женщины просят Путина остаться,2020-03-13T12:04:10Z,Телеканал Дождь,284441,10840,360,1674
138,vzPOXzYzKOs,Обнуление сроков Путина и прекрасная Россия будущего. Интервью с Ходорковским,2020-03-12T11:00:30Z,Телеканал Дождь,1388922,38470,2853,7888
139,Oy-XYQO1qyE,"«Спасибо за честность». Тихон Дзядко о том, почему «обнуление» Путина не госпереворот.",2020-03-12T09:54:15Z,Телеканал Дождь,195429,7657,219,777
140,XwCZZbKagW8,Путин навсегда? Спецэфир Дождя: обсуждаем поправки в Конституцию и обнуление президентских сроков,2020-03-10T14:00:00Z,Телеканал Дождь,195623,5292,561,1476
141,jRiFXPl-jcE,"Порошенко, «Первый канал» и черный лебедь для Путина. Илья Новиков в «Еще не вечер»",2020-03-09T15:56:28Z,Телеканал Дождь,164948,6905,326,665
142,zAp7E761aH4,В Гааге начинается суд по делу о сбитом «Боинге» над Донбассом. Что грозит России?,2020-03-09T11:46:44Z,Телеканал Дождь,98866,3572,347,1175
143,dJgQO9pZfN8,"Кафельников о дочери, её отношениях с рэпером Фараоном и проблемах с наркотиками",2020-03-05T13:13:19Z,Телеканал Дождь,42909,580,192,119
144,csRjJ4mSXJI,"Надежда Толоконникова — о депрессии, «любви ментов» и Библии в сумке",2020-03-02T16:00:28Z,Телеканал Дождь,84738,3363,324,489
145,eLQ73vNv4ew,Как начать беречь здоровье и заботиться о своем теле?,2020-03-02T09:27:02Z,Телеканал Дождь,10284,426,31,41
146,j4G__wco7KE,"Жанна Немцова о расследовании дела об убийстве отца, его последователях и своей карьере в политике",2020-03-01T09:03:03Z,Телеканал Дождь,195647,8140,270,1374
147,wf18oS38LQ8,Марш Немцова. Спецэфир Дождя,2020-02-29T15:54:07Z,Телеканал Дождь,655027,35211,2454,3567
148,n-DvSpRzEjQ,"История модной наследницы Галины Юдашкиной, которая решила перестроить империю отца",2020-02-28T17:23:22Z,Телеканал Дождь,45223,938,133,177
149,ovhk0tHdT_I,«Немцов мост». Спецэфир Дождя,2020-02-27T21:12:40Z,Телеканал Дождь,135511,4058,191,550
150,ZYYDQ8YEU5E,Интервью родителей пропавшей девушки из расследования «Медузы»,2020-02-26T15:46:48Z,Телеканал Дождь,17121,460,109,312
151,kCVVMTxQHwM,"Евгений Ройзман о Навальном, Дуде, тюрьме и «нехорошем ходе» Медузы",2020-02-24T16:10:33Z,Телеканал Дождь,230034,8462,463,957
152,bLp7KJdGcFU,"Юлия Снигирь о съемках в «Новом папе», Джуде Лоу и вырезанной сцене",2020-02-21T15:58:12Z,Телеканал Дождь,79570,1518,71,149
153,8tPoXS_NGbE,"Что такое Bonanza Media, которое выпустило «сенсацию» об MH17?",2020-02-19T17:09:12Z,Телеканал Дождь,19764,701,39,203
154,MVC_TZ17sbw,«НАЧАЛЬСТВО СКАЗАЛО — ВСЕ РАВНО ПОЕДЕШЬ». Как хромого снайпера отправили в Сирию на смерть,2020-02-18T17:23:07Z,Телеканал Дождь,57317,2553,139,851
155,3T4qte6cACw,"Егор Жуков о пиве, феминизме и немного о политике / Еще не вечер",2020-02-17T16:07:58Z,Телеканал Дождь,139423,6022,550,1061
156,X09wQq1Tu0U,"Алексей Венедиктов о дружбе с Песковым, фото с Симоньян и о Навальном - Наполеоне в «Еще не вечер»",2020-02-10T16:08:02Z,Телеканал Дождь,113761,3341,844,383
157,L6F5xatiUJ8,Самариддин Раджабов в поддержку фигурантов дела «Сети»,2020-02-08T14:00:04Z,Телеканал Дождь,8565,899,57,66
158,yNDcrPnWOfs,Павел Устинов в поддержку фигурантов дела «Сети»,2020-02-08T08:00:16Z,Телеканал Дождь,13676,1511,165,115
